Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
2,11,2-11,Arrayan hoji pequeño,Myrcianthes leucoxyla (Ortega) McVaugh,Myrtaceae Juss.,6,4,45,,,,
2,12,2-12,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,5,3,34,,,,
2,13,2-13,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,4,1,32,,,,
2,14,2-14,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,41,,,,
2,16,2-16,Falso roble,SD1,SF1,7,3,63,,,,
2,27,2-27,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,55,,,,
2,25,2-25,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,55,,,,
2,28,2-28,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,35,,,,
2,42,2-42,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,6,4,39,,,,
2,39,2-39,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,80,,,,
2,31,2-31,Falso roble,SD1,SF1,8,4,48,,,,
2,41,2-41,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,58,,,,
2,30,2-30,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,43,,,,
2,29,2-29,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,5,2,34,,,,
2,17,2-17,Balso,Heliocarpus americanus L.,Malvaceae Juss.,8,4,37,,,,
2,18,2-18,Tabaquillo,Macrocarpaea macrophylla (Kunth) Gilg,Gentianaceae Juss.,9,4,50,,,,
2,32,2-32,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,32,,,,
2,33,2-33,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,40,,,,
2,37,2-37,Niguito,Miconia resima Naudin,Melastomataceae Juss.,9,6,32,,,,
2,36,2-36,Niguito,Miconia resima Naudin,Melastomataceae Juss.,5,3,32,,,,
2,26,2-26,Niguito,Miconia resima Naudin,Melastomataceae Juss.,5,4,51,,,,
2,24,2-24,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,50,,,,
2,21,2-21,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,43,,,,
2,22,2-22,Tuno amarillo,Miconia dolichorrhyncha Naudin,Melastomataceae Juss.,6,4,33,,,,
2,23,2-23,Falso roble,SD1,SF1,5,3,36,,,,
2,20,2-20,Tuno amarillo,Miconia dolichorrhyncha Naudin,Melastomataceae Juss.,6,4,37,,,,
2,34,2-34,Balso,Heliocarpus americanus L.,Malvaceae Juss.,9,4,61,,,,
2,35,2-35,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,6,4,39,,,,
2,38,2-38,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,5,2,40,,,,
2,40,2-40,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,38,,,,
3,1,3-1,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,44,,,,
3,2,3-2,Encenillo,Weinmannia pubescens Kunth,Cunoniaceae R.Br.,8,6,42,,,,
3,3,3-3,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,6,5.5,43,,,,
3,4,3-4,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,52,,,,
3,5,3-5,Parecido Silvo Silvo,Hedyosmum colombianum Cuatrec.,Chloranthaceae R.Br. ex Sims,6.5,5.5,42,,,,
3,6,3-6,Arenillo,Dendrobangia boliviana Rusby,Icacinaceae Miers,5.5,3,35,,,,
3,7,3-7,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6.5,5.5,42,,,,
3,8,3-8,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,5,3.5,32,,,,
3,9,3-9,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,6,4,51,,,,
3,10,3-10,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6.5,4,39,,,,
3,11,3-11,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,43,,,,
3,12,3-12,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,5.5,4,37,,,,
3,13,3-13,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,32,,,,
3,14,3-14,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,6.5,5.5,45,,,,
3,15,3-15,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6.5,5,43,,,,
3,16,3-16,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,45,,,,
3,17,3-17,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,8,5.5,46,,,,
3,18,3-18,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,7.5,6.5,54.5,,,,
3,19,3-19,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,44,,,,
3,20,3-20,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6.5,5.5,38,,,,
3,21,3-21,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6.5,4,35,,,,
3,22,3-22,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6.5,5,39,,,,
3,23,3-23,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,38,,,,
3,24,3-24,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,5.5,4,36,,,,
3,25,3-25,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,43,,,,
3,26,3-26,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,7.5,6.5,49,,,,
